id,userId,restaurantId,overallRating,foodRating,serviceRating,ambienceRating,valueRating,wyr,text,date,partySize
1,"80","1","3","4","5","5","5","1","Saepe praesentium consequatur. Et reprehenderit adipisci corporis quisquam. Rem sed ut omnis suscipit id beatae qui nostrum optio.

Et aut corporis aliquam cum et. Tempora et aut nostrum voluptas esse consequatur perferendis saepe aut. Sed vitae autem et voluptatum quo. Aut voluptas consequuntur eos dolorum. Tempore similique repellat voluptas sit. Velit debitis nobis nihil autem. Ut vitae dolorem qui repellat exercitationem. Id distinctio voluptatem eum quibusdam aut sit et dolor mollitia.

Ut consequatur voluptatem sit. Facilis quia ut. Unde sequi sunt fuga ea omnis sint perspiciatis. Facere repellendus esse quia ut. Reprehenderit est distinctio explicabo aut modi assumenda dolorum iste laborum. Asperiores sapiente quia unde rem. Totam dolorem distinctio non laborum.

Distinctio quos facilis et. Repellendus fuga tenetur eius totam officia sunt cum facere repellat.

Sit sit tempore perferendis fugiat aut est veniam. Voluptate dolor esse ut debitis aut minus. Ratione est ut tempora ea veritatis.","2018-02-25 10:02:77","7"
2,"92","1","5","5","5","4","5","1","Totam est aspernatur doloremque ut repudiandae dolores soluta. Corporis aut et voluptas nulla unde sint. Est quia sint perferendis. Nisi autem sint. Maiores quia accusamus dolorem laborum necessitatibus officia vel doloribus hic. Nostrum fugiat repellat.

At voluptate magnam soluta officiis commodi asperiores qui dolore. Debitis voluptatibus id. Libero et sit.

Adipisci consequuntur et modi quia reiciendis quos dolorem optio est. Doloremque optio sequi iure. Nihil molestias eum at nobis. Sapiente accusantium dignissimos aliquid dolorum saepe. Iusto aperiam quam ex cumque tempore. Dignissimos dolores ducimus voluptas libero incidunt vel.

Deserunt et accusamus quis consequuntur earum alias est laudantium quia. Deserunt aut qui.","2018-08-30 00:08:33","2"
3,"6","1","4","5","5","5","5","1","Dolore distinctio quos odio ab. Sit illum laborum eligendi voluptatem dicta. Eum nesciunt nam in aut. Cumque consequatur ipsam similique laboriosam sunt vero quos. Ipsum magni quia accusantium. Officiis neque qui. Et est incidunt dignissimos et sint sint assumenda natus est.

Quo error ratione expedita illo. Est rerum ea. Illum at velit voluptas non repudiandae. Ipsa cum quo reprehenderit occaecati rerum sit qui. Non accusantium expedita quos debitis atque dolorem est aut et. Deleniti velit voluptas similique quidem porro enim.

Veniam et dignissimos dolores. Nihil officia et. Alias fuga a doloribus voluptatem vitae.","2018-03-15 08:03:05","8"
4,"38","1","3","5","3","5","5","1","Id ipsam quam. Assumenda consequuntur officiis ut at est a doloremque unde mollitia. Eligendi neque saepe consequatur est assumenda labore. Officiis dolorum doloribus sunt est dolores porro fuga reprehenderit eligendi. Quia et fuga nostrum qui molestiae sint.

Est qui est voluptatem debitis. Quibusdam ea et in beatae nostrum. Perferendis autem et consequatur non ut recusandae possimus. Et odio voluptatibus est. Nulla consequatur molestiae id molestiae delectus enim vel deleniti.

Nihil tempore eum non quibusdam. Ut odio quibusdam deleniti. Maiores dolorem voluptate neque quis qui cumque. Distinctio impedit autem unde officiis corrupti.

Reprehenderit magnam mollitia. Molestias iusto sed. Voluptatibus aut ipsum praesentium et rem possimus explicabo doloribus pariatur. Quae quam voluptatem nihil ab culpa incidunt incidunt quia nulla. Maxime qui mollitia molestias omnis vitae. Nam ut similique facilis.

Possimus ut harum accusamus odit. Ducimus voluptates ad non temporibus quam dolorem molestias perferendis. Veniam placeat est consequatur architecto qui voluptate molestias excepturi. Voluptas soluta blanditiis non esse. Accusamus ut est.","2018-01-16 03:01:09","6"
5,"32","1","5","5","5","5","5","1","Qui ut quo facere eligendi vero. Ipsam officia enim aut neque quia recusandae est architecto qui. Harum architecto est sunt est assumenda. Quisquam ipsum expedita et molestiae sed. Qui qui eum eos et nulla earum.

Sequi dolorem nesciunt qui asperiores libero. Tempore et optio quam nostrum dolores molestias nihil aliquid. Optio ad architecto laboriosam fugiat ipsam sapiente dignissimos. Quasi distinctio omnis pariatur cum. Nesciunt sunt eius aliquam id est quo ea.","2017-11-21 18:11:08","3"
6,"81","1","5","2","4","3","4","1","Odio in doloremque doloribus repellendus occaecati animi itaque natus. Exercitationem est ipsam et iure. Quia temporibus commodi.

Accusamus dolores fuga aut quia impedit non atque fugit. Ducimus porro quos repudiandae provident quaerat alias recusandae. Voluptatem voluptatum laudantium vel omnis voluptas. Eveniet asperiores saepe eos qui consectetur. Iste consequatur dolorem aut reprehenderit voluptate quos dicta excepturi id. Id et animi sit a et et quibusdam illum.

Eum similique repudiandae minima illo eos. Qui accusantium incidunt temporibus quam non recusandae cum. Perferendis harum quam dolor commodi sit. Asperiores ipsa et beatae repudiandae voluptas. Quo vero aliquid tempora numquam.","2017-10-10 12:10:07","7"
7,"6","1","2","5","5","1","5","1","Explicabo reiciendis consequatur sed illum. Aut veniam dicta quo voluptatem distinctio. Incidunt voluptas esse laborum beatae assumenda quis. Id ut repellat ut voluptatem et. Maxime sit qui officia eum.

Saepe molestiae placeat est vel tempore reprehenderit. Sapiente perspiciatis dolor. Quis ratione sed fugit at dolor. Debitis impedit optio incidunt ut omnis maxime. Voluptatem repellendus eius. Id cum soluta deleniti aut quo et aut explicabo.

Doloribus consequuntur earum. Vero nemo vel quam. Est inventore consequuntur itaque quaerat quisquam quo quasi nisi. Qui numquam doloremque exercitationem nihil aspernatur et vitae voluptate. Aut error velit ut quo.

Ut quos labore dolor et. Quam et dolores nesciunt possimus commodi ut veniam repudiandae. Similique quidem blanditiis iste. In ad vel eligendi enim qui hic. Corrupti rerum sunt ut reiciendis eligendi magnam. Possimus omnis expedita cum earum qui quia illo. Tempore aut doloribus est.","2017-12-06 18:12:90","2"
8,"1","1","5","5","4","5","5","1","Facilis sint illum vero explicabo consequatur tempora ex. Quam reiciendis pariatur nihil eaque. Nemo sint eligendi. Voluptatem fugiat voluptas et animi. Alias libero iste.

Quis consequuntur ab suscipit dolores sint eum dolorem. Eum eos dignissimos deserunt autem quis. Consectetur necessitatibus omnis inventore aut. Alias ipsum eius in.

Placeat consequuntur error odio quasi. Ea assumenda laborum numquam reprehenderit rem quia ut. Nisi aliquid nulla.

Ab voluptatem qui nesciunt voluptatum aut omnis aut deleniti. Dolorem et voluptatum velit eos. Qui optio suscipit odit repellat sequi aperiam dignissimos dicta. Non ut provident cum ut voluptatem.

Quidem animi ipsum dolores illo numquam. Doloremque quae voluptatibus rem illo est illum suscipit voluptas. Reprehenderit omnis voluptatem et et libero sunt. Velit vero quod veniam eum. Accusamus modi id quaerat quisquam libero eius quo rem. Officiis quasi dolore incidunt deserunt ut consectetur qui doloribus.","2018-05-14 11:05:83","5"
9,"99","1","5","5","5","5","3","1","Aliquid repellendus provident magnam ducimus. Consequatur minima quas libero corporis. Eius dolorem ipsum. Dolorem totam dolorem. Itaque aut ullam facere. Hic porro ut qui. Harum quis minima sit ipsum quam ipsum inventore quia debitis. Qui quae id.

Et qui non. Omnis qui quasi et aut ratione. Consequatur aut omnis eum porro dolor. Voluptates sed facere odit modi similique libero id culpa autem.

Pariatur dolorem et veniam perspiciatis et. Ipsam qui est fugiat in ipsum minima similique dolorum. Minus aut dolorem magnam molestiae inventore porro magni. Nihil voluptates deleniti voluptates ab voluptas. Assumenda soluta autem nihil qui harum laudantium earum. Voluptatibus quis hic quisquam reprehenderit qui aut sed. Nesciunt odit iusto dicta nobis autem non.","2018-05-05 23:05:71","4"
10,"63","1","5","5","5","5","5","0","Aut voluptatem quo. Nobis harum incidunt magnam occaecati soluta illo qui beatae. Praesentium aperiam pariatur molestiae explicabo dolores. Dignissimos vel incidunt sapiente deserunt sunt et. Asperiores a non fuga quas. Quos accusamus voluptate praesentium. Et accusantium ullam impedit iure et nemo doloremque.

Voluptas quo atque distinctio ipsum nisi pariatur dolores unde. Impedit provident quaerat quia. Vitae illum eos quia tenetur aspernatur provident sunt nisi alias. Et corporis facere modi doloremque itaque. Quaerat assumenda repudiandae et aspernatur. Quis sequi dignissimos alias et itaque eum sed. Aut aut quis dolorem animi et autem omnis.

Sed rerum delectus culpa nemo et. Aut adipisci aut recusandae voluptatibus ut ea.

Laboriosam dignissimos ipsa. Iure enim aut quia dolor. Numquam vitae ipsa cumque aut dolores sint rerum alias. Architecto quo aut sint sed aliquam libero ad ipsum sit. Et temporibus distinctio. Temporibus neque corporis ipsam et voluptas est aut sint nulla. Mollitia ullam ut dolorum voluptas culpa ut ut debitis debitis.","2018-02-19 10:02:17","4"
